sample_ID,Intercept,umol.L.sec,Temp.C,run_block,light_dark
PS2.1,193.7626668034404,-1.703689602567153e-4,26.020669491525425,MPW_RUN1,DARK
PS1.1,191.6754049222863,-1.9472155746445854e-4,25.887737288135593,MPW_RUN1,DARK
PS4.1,167.12066309445697,-1.9494969745571073e-4,25.961618644067798,MPW_RUN1,DARK
PS2.2,190.9608614489688,-1.9635995064339854e-4,25.908322033898305,MPW_RUN1,DARK
PS1.2,189.4955001740722,-1.3934044045238784e-4,25.86072033898305,MPW_RUN1,DARK
PS2.3,193.91412505809978,-1.6460822510822417e-4,25.872127118644066,MPW_RUN1,DARK
PS3.1,182.98731509333123,-2.213257561298334e-4,25.950822033898305,MPW_RUN1,DARK
PS4.2,176.9304625773745,-3.529778659808344e-5,25.928161016949154,MPW_RUN1,DARK
PS3.2,181.31813047785272,-1.2935240656005814e-4,25.87469491525424,MPW_RUN1,DARK
PS1.3,184.44733791146686,-1.4779712651474323e-4,26.07677966101695,MPW_RUN1,DARK
PS4.3,167.75597869450561,-1.8175516863538273e-4,25.94421186440678,MPW_RUN1,DARK
PS3.3,181.59373320647367,-1.9466827483694042e-4,25.887745762711866,MPW_RUN1,DARK
PS2.1,197.40882302130154,-1.8335776170933342e-4,27.181584745762713,MPW_RUN1,LIGHT
PS1.1,196.21847861927543,-1.7132273866484344e-4,27.041389830508475,MPW_RUN1,LIGHT
PS4.1,167.91849802552397,1.2777993295733702e-4,27.110754237288134,MPW_RUN1,LIGHT
PS2.2,194.89384132509608,-1.8931854841280373e-4,27.086737288135595,MPW_RUN1,LIGHT
PS1.2,192.71575534401634,-1.3280788397839345e-4,27.01513559322034,MPW_RUN1,LIGHT
PS2.3,196.04520285323434,-1.2242492345775443e-4,27.017745762711865,MPW_RUN1,LIGHT
PS3.1,185.21468242720746,-1.8812172860939567e-5,27.120957627118646,MPW_RUN1,LIGHT
PS4.2,174.66654449267506,1.58410596400794e-4,27.10999152542373,MPW_RUN1,LIGHT
PS3.2,185.18115799251194,-7.335555460287607e-5,27.03865254237288,MPW_RUN1,LIGHT
PS1.3,187.33614524886863,-1.1988159879335674e-4,27.207974576271187,MPW_RUN1,LIGHT
PS4.3,167.75535536445537,2.0335483210483232e-4,27.079508474576272,MPW_RUN1,LIGHT
PS3.3,184.30415265054515,-6.488264580369206e-5,27.011059322033898,MPW_RUN1,LIGHT
