start_time,stop_time,date,site_ID,sample_ID,FileID_csv,light_dark,run_block,chamber_channel,weight_g,volume_mL,chla
2026-06-25T07:00:00Z,2026-06-25T07:30:00Z,2026-06-25,PS1,PS1.2_RUN2,PS1.2_RUN2_O2.csv,DARK,MPW_RUN2,7,1,500,1
2026-06-25T07:00:00Z,2026-06-25T07:30:00Z,2026-06-25,PS2,PS2.3_RUN2,PS2.3_RUN2_O2.csv,DARK,MPW_RUN2,8,1,500,1
2026-06-25T07:00:00Z,2026-06-25T07:30:00Z,2026-06-25,PS1,PS1.3_RUN2,PS1.3_RUN2_O2.csv,DARK,MPW_RUN2,9,1,500,1
2026-06-25T07:00:00Z,2026-06-25T07:30:00Z,2026-06-25,PS3,PS3.2_RUN2,PS3.2_RUN2_O2.csv,DARK,MPW_RUN2,10,1,500,1
2026-06-25T06:00:00Z,2026-06-25T06:30:00Z,2026-06-25,PS4,PS4.3_RUN2,PS4.3_RUN2_O2.csv,DARK,MPW_RUN2,11,1,500,1
2026-06-25T07:00:00Z,2026-06-25T07:30:00Z,2026-06-25,PS3,PS3.3_RUN2,PS3.3_RUN2_O2.csv,DARK,MPW_RUN2,12,1,500,1
2026-06-25T08:45:00Z,2026-06-25T09:15:00Z,2026-06-25,PS2,PS2.1_RUN2,PS2.1_RUN2_O2.csv,LIGHT,MPW_RUN2,1,1,500,1
2026-06-25T08:45:00Z,2026-06-25T09:15:00Z,2026-06-25,PS4,PS4.1_RUN2,PS4.1_RUN2_O2.csv,LIGHT,MPW_RUN2,2,1,500,1
2026-06-25T08:45:00Z,2026-06-25T09:15:00Z,2026-06-25,PS3,PS3.1_RUN2,PS3.1_RUN2_O2.csv,LIGHT,MPW_RUN2,3,1,500,1
2026-06-25T09:30:00Z,2026-06-25T10:00:00Z,2026-06-25,PS1,PS1.1_RUN2,PS1.1_RUN2_O2.csv,LIGHT,MPW_RUN2,4,1,500,1
2026-06-25T08:45:00Z,2026-06-25T09:15:00Z,2026-06-25,PS2,PS2.2_RUN2,PS2.2_RUN2_O2.csv,LIGHT,MPW_RUN2,5,1,500,1
2026-06-25T08:45:00Z,2026-06-25T09:15:00Z,2026-06-25,PS4,PS4.2_RUN2,PS4.2_RUN2_O2.csv,LIGHT,MPW_RUN2,6,1,500,1
2026-06-25T09:30:00Z,2026-06-25T10:00:00Z,2026-06-25,PS1,PS1.2_RUN2,PS1.2_RUN2_O2.csv,LIGHT,MPW_RUN2,7,1,500,1
2026-06-25T08:45:00Z,2026-06-25T09:15:00Z,2026-06-25,PS2,PS2.3_RUN2,PS2.3_RUN2_O2.csv,LIGHT,MPW_RUN2,8,1,500,1
