sample_ID,Intercept,umol.L.sec,Temp.C,Light_level,Light_value,run_block
Vest_W3_PrelimRun1,103.03641622243505,-2.589390830925136e-4,24.365197115384614,1,NA,NA
Vest_WBlank0.2_PrelimRun1,66.1620052419355,-1.4737903225811142e-5,24.184893617021277,1,NA,NA
Vest_L4_PrelimRun1,97.09483814192463,5.427764272166778e-5,24.193465045592706,2,NA,NA
Vest_W2_PrelimRun1,99.44828022871336,2.6655845274164548e-5,24.153395136778116,2,NA,NA
Vest_L2_PrelimRun1,98.03984762157403,4.734442535360687e-6,24.129765957446807,2,NA,NA
Vest_WBlank0.7_PrelimRun1,88.7106434626258,2.6091682675997653e-5,24.145258358662613,2,NA,NA
Vest_W1_PrelimRun1,100.10611425055382,-1.4727330262651243e-5,24.200240121580546,2,NA,NA
Vest_L3_PrelimRun1,98.99428141052393,1.5256483011507372e-5,24.181313069908814,2,NA,NA
Vest_LBlank0.7_PrelimRun1,84.47928294204456,-8.283162025140368e-5,24.18322072072072,1,NA,NA
Vest_L1_PrelimRun1,97.24009965098348,-2.1401699449252685e-4,24.334301801801804,1,NA,NA
Vest_W4_PrelimRun1,100.44560881524824,-2.2057157855269837e-4,24.22850900900901,1,NA,NA
Vest_LBlank0.2_PrelimRun1,41.77943283534872,4.209903449568578e-5,24.198346846846846,1,NA,NA
Vest_W3_PrelimRun1,101.7249612083148,-1.060366484403929e-6,24.222936170212765,2,NA,NA
Vest_WBlank0.2_PrelimRun1,66.17030643560943,1.1975338316040379e-4,24.124103343465045,2,NA,NA
Vest_L4_PrelimRun1,97.09483814192463,5.427764272166778e-5,24.193465045592706,2,NA,NA
Vest_W2_PrelimRun1,99.44828022871336,2.6655845274164548e-5,24.153395136778116,2,NA,NA
Vest_L2_PrelimRun1,98.03984762157403,4.734442535360687e-6,24.129765957446807,2,NA,NA
Vest_WBlank0.7_PrelimRun1,88.7106434626258,2.6091682675997653e-5,24.145258358662613,2,NA,NA
Vest_W1_PrelimRun1,100.10611425055382,-1.4727330262651243e-5,24.200240121580546,2,NA,NA
Vest_L3_PrelimRun1,98.99428141052393,1.5256483011507372e-5,24.181313069908814,2,NA,NA
Vest_LBlank0.7_PrelimRun1,84.10095836178586,5.564969271290596e-5,24.11870820668693,2,NA,NA
Vest_L1_PrelimRun1,96.32084563896922,2.9945713340427264e-5,24.30301519756839,2,NA,NA
Vest_W4_PrelimRun1,99.41025637589192,4.052580097118278e-7,24.20577811550152,2,NA,NA
Vest_LBlank0.2_PrelimRun1,42.01665582766643,1.4208435930485608e-4,24.128234042553192,2,NA,NA
